Module	Feature	Action	Passing criteria	Failing criteria	Priority	In scope	Status	Defect / notes
SOX	Select Entities	Verify that after the mapping step the user is asked which entities the RACM applies to	An entity picker is shown	The import completes without asking	P0	Yes		
SOX	Select Entities	Verify that the entity picker lists every entity on the engagement	All entities are listed	An entity is missing	P0	Yes		
SOX	Select Entities	Verify that a select all option is offered	Select all is available and ticks every entity	No select all is offered	P1	Yes		
SOX	Select Entities	Verify that Continue is blocked until at least one entity is ticked	Continue cannot be used with nothing ticked	The import completes with no entity attached	P0	Yes		Observed on staging 21 Aug 2026 - Continue worked with no entity ticked and the controls were saved with an empty entity
SOX	Select Entities	Verify that the chosen entities appear against the controls afterwards	The entity is shown on each control row	The entity column stays empty	P0	Yes		Observed on staging 21 Aug 2026 - the Entity column shows a padlock icon and no entity name
SOX	Select Entities	Verify that the picker names the file the entities are being chosen for	The file name is in the question	The question is generic	P2	Yes		
SOX	Select Entities	Verify that Cancel on the entity step does not leave a half imported RACM	Nothing is saved	The RACM is saved without entities	P0	Yes		
SOX	Select Entities	Verify that a single entity engagement still asks the question or skips it cleanly	Either it skips with the one entity attached or asks once	The step is shown with nothing to choose	P2	Yes		
SOX	Upload SOP - Extract	Verify that a pdf procedure can be uploaded for extraction	The file is accepted and extraction starts	The file is refused	P0	Yes		
SOX	Upload SOP - Extract	Verify that a file that is not a pdf is refused on the SOP route	A clear message is shown	A non pdf is accepted	P1	Yes		
SOX	Upload SOP - Extract	Verify that progress is shown while the document is being read	A progress indicator is shown	The screen looks frozen	P0	Yes		
SOX	Upload SOP - Extract	Verify that the drafted RACM is shown for review before it is saved	A review step is offered	The RACM is saved straight away	P0	Yes		
SOX	Upload SOP - Extract	Verify that each drafted row can be edited or removed before saving	Rows can be changed	The draft is read only	P0	Yes		
SOX	Upload SOP - Extract	Verify that each drafted row points back to the part of the document it came from	A section reference is shown	No trace back is offered	P1	Yes		
SOX	Upload SOP - Extract	Verify that a document with no recognisable controls is reported rather than saved empty	A message says nothing could be extracted	An empty RACM is created	P1	Yes		
SOX	Upload SOP - Extract	Verify that the saved RACM is marked as having come from an SOP	The library shows the SOP source	The source is not recorded	P1	Yes		
SOX	RACM Editor - Layout	Verify that the editor header shows the engagement code, the RACM name and the process tag	All three are shown	A value is missing	P1	Yes		
SOX	RACM Editor - Layout	Verify that the back arrow returns to the RACM library	The library opens	The arrow does nothing	P1	Yes		
SOX	RACM Editor - Layout	Verify that a saved indicator confirms that changes have been stored	A short all changes saved message is shown	No save feedback is given	P0	Yes		
SOX	RACM Editor - Layout	Verify that the summary strip shows total controls, total risks, sub processes, rating counts and manual against automated	Every figure is shown	A figure is missing	P1	Yes		
SOX	RACM Editor - Layout	Verify that the summary figures match the rows in the grid	The figures agree with the rows	The figures are stale	P1	Yes		
SOX	RACM Editor - Layout	Verify that the summary strip updates after a row is edited or deleted	The figures move	The figures stay stale until a refresh	P1	Yes		
SOX	RACM Editor - Layout	Verify that the editor opens within a reasonable wait	The grid appears within a few seconds	The editor takes longer than fifteen seconds	P1	Yes		
SOX	RACM Editor - Layout	Verify that the editor fits a smaller laptop screen without hiding the toolbar	The toolbar stays reachable	The toolbar is pushed off screen	P2	Yes		
SOX	RACM Editor - Columns	Verify that the column button shows how many columns are visible out of the total	A count such as visible over total is shown	No count is shown	P1	Yes		
SOX	RACM Editor - Columns	Verify that columns are grouped into named groups that can be switched on and off together	Groups such as IDs, Process, Risk and Control are offered	No grouping is offered	P1	Yes		
SOX	RACM Editor - Columns	Verify that switching a group off hides every column in it	All the group columns disappear	Some stay behind	P1	Yes		
SOX	RACM Editor - Columns	Verify that switching a group back on brings the columns back in the same order	The columns return in order	The order changes	P2	Yes		
SOX	RACM Editor - Columns	Verify that the pinned columns can be chosen so they stay visible while scrolling sideways	The chosen columns stay in place	Pinning has no effect	P1	Yes		
SOX	RACM Editor - Columns	Verify that pinned columns do not overlap the scrolling columns	The two areas stay separate	Text from one column sits on top of another	P1	Yes		Reported previously on the RACM table for rows R007 and R009
SOX	RACM Editor - Columns	Verify that the column choices survive leaving the editor and coming back	The choices are remembered	Everything resets	P2	Yes		
SOX	RACM Editor - Columns	Verify that the grid still works with every column switched on	The grid scrolls sideways cleanly	The grid breaks or becomes unusable	P1	Yes		
SOX	RACM Editor - Grid	Verify that every control imported into the RACM is shown as a row	The row count matches the import	Rows are missing	P0	Yes		
SOX	RACM Editor - Grid	Verify that the risk identifier and control identifier are shown on every row	Both are shown	Either is blank	P0	Yes		
SOX	RACM Editor - Grid	Verify that risk rating, likelihood and impact are shown as readable labels	The labels are readable	Raw codes are shown	P1	Yes		
SOX	RACM Editor - Grid	Verify that a field the file did not contain shows a dash rather than a blank	A dash is shown	The cell is blank and reads as a bug	P2	Yes		
SOX	RACM Editor - Grid	Verify that long text in a cell can be read in full	The full text can be seen or expanded	Text is cut off with no way to read it	P1	Yes		
SOX	RACM Editor - Grid	Verify that the rows per page choice changes how many rows are shown	The page size changes	The choice has no effect	P1	Yes		
SOX	RACM Editor - Grid	Verify that the showing count at the bottom matches the rows on screen	The two agree	They disagree	P2	Yes		
SOX	RACM Editor - Grid	Verify that a RACM with many rows pages through to the last row	Every row can be reached	Paging stops early	P1	Yes		
SOX	RACM Editor - Search	Verify that the search box searches across every column	A term in any column finds the row	Only some columns are searched	P1	Yes		
SOX	RACM Editor - Search	Verify that search narrows the grid as the user types	The grid narrows	Nothing happens until Enter	P2	Yes		
SOX	RACM Editor - Search	Verify that clearing the search brings every row back	The full grid returns	The grid stays filtered	P1	Yes		
SOX	RACM Editor - Search	Verify that a search with no matches shows a clear empty message	A short message says nothing matched	A blank grid is shown	P1	Yes		
SOX	RACM Editor - Search	Verify that the column filters narrow the grid to the chosen values	Only matching rows remain	The filter has no effect	P1	Yes		
SOX	RACM Editor - Search	Verify that two column filters can be used at once	Both are applied	The second replaces the first	P1	Yes		
SOX	RACM Editor - Search	Verify that an active filter is visibly marked on the column	The column shows it is filtered	There is no sign a filter is on	P1	Yes		
SOX	RACM Editor - Search	Verify that the grouping choice groups rows by sub process, process area or risk rating	Rows are grouped under headings	Grouping has no effect	P1	Yes		
SOX	RACM Editor - Editing	Verify that a cell can be opened for editing by double clicking it	An editable box opens in place	Nothing happens	P0	Yes		
SOX	RACM Editor - Editing	Verify that a change is saved and the saved indicator confirms it	The value sticks and the indicator confirms	The value reverts	P0	Yes		
SOX	RACM Editor - Editing	Verify that pressing escape while editing leaves the original value in place	The original value stays	The cell is cleared	P1	Yes		
SOX	RACM Editor - Editing	Verify that a field with a fixed set of choices offers those choices rather than free text	A list of choices is offered	Free text is accepted into a coded field	P1	Yes		
SOX	RACM Editor - Editing	Verify that clearing a required field is refused with a clear message	A message explains the field is needed	The row is saved with a required field empty	P1	Yes		
SOX	RACM Editor - Editing	Verify that an edit made in the RACM shows up on the matching control	The control reflects the change	The two drift apart	P0	Yes		
SOX	RACM Editor - Editing	Verify that a change made while a filter is on does not move the row out of view without warning	The row stays visible or the user is told	The row vanishes mid edit	P2	Yes		
SOX	RACM Editor - Editing	Verify that two people editing the same RACM do not silently overwrite each other	The later change is flagged	The last save wins silently	P1	Yes		
SOX	RACM Editor - Editing	Verify that a control that has already been tested in an audit cannot be edited without a warning	A warning explains the effect on the working paper	The control is changed silently under a concluded test	P0	Yes		
SOX	RACM Editor - Rows	Verify that a row can be selected with its tick box	The row is selected and a count is shown	The tick box does nothing	P1	Yes		
SOX	RACM Editor - Rows	Verify that several rows can be selected at once	The count goes up with each row	Only one row can be selected	P1	Yes		
SOX	RACM Editor - Rows	Verify that a select all tick box is offered in the header	Every row on the page can be selected in one action	There is no way to select all	P1	Yes		No header tick box exists on staging as at 21 Aug 2026
SOX	RACM Editor - Rows	Verify that deleting selected rows asks for confirmation first	A confirmation step is shown	Rows are deleted straight away	P0	Yes		
SOX	RACM Editor - Rows	Verify that deleted rows disappear and the summary figures drop	The rows are gone and the figures drop	The rows stay or the figures are stale	P0	Yes		
SOX	RACM Editor - Rows	Verify that a control already used in an audit cannot be deleted without a clear warning	A warning explains what will be lost	The control is deleted under a live working paper	P0	Yes		
SOX	RACM Editor - Rows	Verify that clearing the selection removes the delete action	The action disappears	The action stays with nothing selected	P2	Yes		
SOX	RACM Editor - Export	Verify that Export downloads the RACM as a spreadsheet	A file downloads	Nothing happens	P1	Yes		
SOX	RACM Editor - Export	Verify that the exported file holds every visible column and row	The file matches what is on screen	Columns or rows are missing	P1	Yes		
SOX	RACM Editor - Export	Verify that the export respects the current filters or says that it does not	The behaviour is clear either way	The user cannot tell what was exported	P2	Yes		
SOX	RACM Editor - Export	Verify that the exported file opens cleanly in a spreadsheet tool	The file opens without repair prompts	The file is corrupt	P1	Yes		
SOX	RACM Editor - Export	Verify that the exported file is named after the RACM	The file name identifies the RACM	The file has a generic name	P2	Yes		
SOX	RACM Versioning	Verify that each RACM shows its version number	A version is shown	No version is shown	P1	Yes		
SOX	RACM Versioning	Verify that the active version is clearly marked	The active version is marked	No version is marked active	P1	Yes		
SOX	RACM Versioning	Verify that editing a RACM either raises the version or explains why it does not	The behaviour is consistent and explained	Versions never change however much is edited	P1	Yes		
SOX	RACM Versioning	Verify that an earlier version can be viewed	The earlier version opens read only	There is no way back to an earlier version	P1	Yes		
SOX	RACM Versioning	Verify that an audit already under way keeps testing against the version it started on	The audit keeps its version	A RACM change silently rewrites a live audit	P0	Yes		
SOX	Controls Tab - Summary	Verify that the Controls tab shows tiles for controls, attributes, workflows mapped, runs logged and audit runs	All five tiles are shown	A tile is missing	P1	Yes		
SOX	Controls Tab - Summary	Verify that the controls tile matches the number of rows in the table	The two agree	They disagree	P0	Yes		
SOX	Controls Tab - Summary	Verify that the attributes tile matches the attributes across the controls listed	The two agree	The tile shows zero while the rows show attributes	P0	Yes		Observed on staging 21 Aug 2026 - the attributes tile flipped between 26 and 0 on the same data during loading
SOX	Controls Tab - Summary	Verify that the workflows mapped tile shows mapped out of total	A fraction is shown	A single number is shown with no context	P1	Yes		
SOX	Controls Tab - Summary	Verify that the workflows mapped tile goes up after a workflow is mapped to a control	The figure rises	The figure stays stale	P1	Yes		
SOX	Controls Tab - Summary	Verify that runs logged reflects workflow runs against these controls	The figure matches the runs	The figure never moves	P1	Yes		
SOX	Controls Tab - Summary	Verify that audit runs reflects the number of audits these controls sit in	The figure matches the audits	The figure is wrong	P1	Yes		
SOX	Controls Tab - List	Verify that the table shows process, control, entity, control type, frequency, control owner, objective, nature, attributes, workflows, audit runs and last run	Every column is present	A column is missing	P1	Yes		
SOX	Controls Tab - List	Verify that each control row shows its control identifier and sub process under the name	Both are shown	Either is missing	P1	Yes		
SOX	Controls Tab - List	Verify that the control column shows something the auditor can recognise rather than a long activity sentence	A short control name or objective is shown	The full control activity paragraph is shown and cut off mid sentence	P1	Yes		Observed on staging 21 Aug 2026 - the Control column shows the control activity text truncated with an ellipsis
SOX	Controls Tab - List	Verify that the entity column shows the entity the control is tested at	The entity name is shown	The column is empty or shows only an icon	P0	Yes		Observed on staging 21 Aug 2026 - the Entity column shows a padlock icon and no name
SOX	Controls Tab - List	Verify that rows are grouped by process with a per group count	Groups carry counts	No grouping or counts are shown	P1	Yes		
SOX	Controls Tab - List	Verify that the per group counts add up to the total control count	The counts add up	They do not add up	P1	Yes		
SOX	Controls Tab - List	Verify that only controls belonging to this engagement are listed	Nothing from another engagement appears	Controls from elsewhere are listed	P0	Yes		Observed on staging 21 Aug 2026 - 23 unrelated Inventory Management controls appeared in a new engagement
SOX	Controls Tab - List	Verify that clicking a control opens that control page	The right control opens	Nothing happens or the wrong control opens	P0	Yes		
SOX	Controls Tab - Filters	Verify that the search box narrows the list by control text and owner	Matching rows are shown	The search has no effect	P1	Yes		
SOX	Controls Tab - Filters	Verify that the process filter narrows the list to one process	Only that process remains	The filter has no effect	P1	Yes		
SOX	Controls Tab - Filters	Verify that the entity filter narrows the list to one entity	Only that entity remains	The filter has no effect	P1	Yes		
SOX	Controls Tab - Filters	Verify that the control type filter narrows the list	Only matching rows remain	The filter has no effect	P1	Yes		
SOX	Controls Tab - Filters	Verify that the frequency filter narrows the list	Only matching rows remain	The filter has no effect	P1	Yes		
SOX	Controls Tab - Filters	Verify that the control owner filter narrows the list	Only matching rows remain	The filter has no effect	P1	Yes		
SOX	Controls Tab - Filters	Verify that the workflows filter separates mapped from unmapped controls	The split works	The filter has no effect	P1	Yes		
SOX	Controls Tab - Filters	Verify that filters can be combined	All chosen filters are applied	One filter cancels another	P1	Yes		
SOX	Controls Tab - Filters	Verify that the group by choice offers process, entity and no grouping	All three are offered	A choice is missing	P1	Yes		
SOX	Controls Tab - Views	Verify that the dense view makes the rows shorter without losing any column	Rows shrink and all columns remain	Columns disappear in dense view	P2	Yes		
SOX	Controls Tab - Views	Verify that the card view shows the same controls as the table view	Both views hold the same controls	The views disagree	P1	Yes		
SOX	Controls Tab - Views	Verify that switching views keeps the current search and filters	The view changes and the filters stay	The filters reset	P2	Yes		
SOX	Controls Tab - Views	Verify that the chosen view is remembered on the next visit	The view is remembered	It resets each time	P2	Yes		
SOX	Controls Tab - Views	Verify that the working paper export action produces a file	A file downloads	Nothing happens	P1	Yes		
SOX	Controls Tab - Views	Verify that the Audit report action opens the report for the current audit	The report preview opens	Nothing happens	P1	Yes		
SOX	Control Page - Header	Verify that the control page shows the control objective as its heading	The objective is the heading	A raw identifier or the activity text is the heading	P1	Yes		
SOX	Control Page - Header	Verify that the control line and the control activity line hold different text	The two lines say different things	Both lines repeat the same sentence	P1	Yes		Observed on staging 21 Aug 2026 - Control and Control activity are identical on every imported control
SOX	Control Page - Header	Verify that the chips show key control, control type, nature, frequency and risk rating	All five are shown	A chip is missing	P1	Yes		
SOX	Control Page - Header	Verify that no chip is repeated	Each chip appears once	The same chip appears twice	P2	Yes		Observed on staging 21 Aug 2026 - the working paper header shows the Preventive chip twice
SOX	Control Page - Header	Verify that the identity line shows entity, process, control owner, process owner, risk and assertions	All six are shown	A value is missing	P1	Yes		
SOX	Control Page - Header	Verify that the entity is named on the control page	The entity name is shown	The entity shows only a padlock and a dash	P0	Yes		Observed on staging 21 Aug 2026 - Entity is blank and the breadcrumb reads "C001/-"
SOX	Control Page - Header	Verify that the assertions shown match the assertions on the RACM row	The two agree	They disagree	P1	Yes		
SOX	Control Page - Header	Verify that the linked risk identifier and description match the RACM	The two agree	They disagree	P1	Yes		
SOX	Control Page - Header	Verify that Back to Control Library returns to the list	The list opens	The link does nothing	P1	Yes		
SOX	Control Page - Header	Verify that a control with a very long objective still shows its chips and identity line	Everything stays readable	The chips are pushed off screen	P2	Yes		
SOX	Control Page - Risk Owner	Verify that the risk owner selector lists the people who can hold the role	Eligible people are listed	The list is empty or lists everyone	P1	Yes		
SOX	Control Page - Risk Owner	Verify that a control starts with no risk owner assigned	The selector reads unassigned	A person is assigned without anyone choosing them	P1	Yes		
SOX	Control Page - Risk Owner	Verify that choosing a risk owner saves without a separate save action	The choice sticks	The choice reverts on refresh	P0	Yes		
SOX	Control Page - Risk Owner	Verify that the risk owner can be changed later	The new person replaces the old one	The field locks after the first choice	P1	Yes		
SOX	Control Page - Risk Owner	Verify that a workflow cannot be mapped until a risk owner is set	The mapping control is disabled with a clear reason	A workflow can be mapped with no owner	P0	Yes		
SOX	Control Page - Risk Owner	Verify that the reason the mapping is blocked is shown next to the control	A short line explains the risk owner is needed first	The control is simply greyed with no reason	P1	Yes		
SOX	Control Page - Risk Owner	Verify that the risk owner change is recorded so it can be traced later	The change appears in history	No trace is kept	P1	Yes		
SOX	Control Page - Attributes	Verify that every attribute on the control is listed with its own code	All attributes are listed with codes	Attributes are missing	P0	Yes		
SOX	Control Page - Attributes	Verify that the attribute count matches the attributes on the RACM row	The two agree	The RACM lists several attributes and the control shows one	P0	Yes		Observed on staging 21 Aug 2026 - a RACM row with two attributes separated by a vertical bar produced a single attribute
SOX	Control Page - Attributes	Verify that an attribute keeps the same code wherever it is shown	The code is the same on the control page and in the working paper	The same attribute carries two different codes	P1	Yes		Observed on staging 21 Aug 2026 - the same attribute appears as C001-CA388 on the control page and C001-CAF4B4 in the working paper
SOX	Control Page - Attributes	Verify that a new attribute can be added by hand	The attribute is added and listed	Add attribute does nothing	P1	Yes		
SOX	Control Page - Attributes	Verify that an attribute can be removed	The attribute disappears	Removal fails silently	P1	Yes		
SOX	Control Page - Attributes	Verify that an attribute already tested in an audit cannot be removed without a warning	A warning explains the effect	The attribute is removed under a concluded test	P0	Yes		
SOX	Control Page - Attributes	Verify that the mapped count above the table matches the attributes that carry a workflow	The two agree	They disagree	P1	Yes		
SOX	Control Page - Attributes	Verify that an attribute with no workflow is clearly marked as not mapped	A not mapped label is shown	Mapped and unmapped look the same	P1	Yes		
SOX	Control Page - Workflow Mapping	Verify that each attribute offers a way to map a workflow to it	A picker is offered on each attribute row	No mapping control exists	P0	Yes		
SOX	Control Page - Workflow Mapping	Verify that the picker lists the workflows available to this organisation	Workflows are listed	The list is empty	P0	Yes		
SOX	Control Page - Workflow Mapping	Verify that the workflow picker can be searched or filtered	The list can be narrowed	The user has to scroll a very long list	P0	Yes		Observed on staging 21 Aug 2026 - the picker lists 138 workflows with no search
SOX	Control Page - Workflow Mapping	Verify that the workflow list does not show several entries with the same name	Names are distinguishable	Several identical names appear with no way to tell them apart	P1	Yes		Observed on staging 21 Aug 2026 - DBinvoice, test, pdfsign, testmemory3 and others appear more than once
SOX	Control Page - Workflow Mapping	Verify that choosing a workflow marks the attribute as mapped	The row changes to mapped and names the workflow	The row does not change	P0	Yes		
SOX	Control Page - Workflow Mapping	Verify that the workflow name on the mapped row links to that workflow	The workflow opens	The name is not clickable	P1	Yes		
SOX	Control Page - Workflow Mapping	Verify that a mapped workflow can be removed	The mapping clears and the row shows not mapped	The mapping cannot be undone	P1	Yes		
SOX	Control Page - Workflow Mapping	Verify that a mapped workflow can be swapped for another	The new workflow replaces the old	Both remain mapped	P1	Yes		
SOX	Control Page - Workflow Mapping	Verify that mapping a workflow updates the workflows mapped tile on the Controls tab	The tile rises	The tile stays stale	P1	Yes		
SOX	Control Page - Workflow Mapping	Verify that the workflow mapping is what makes the population sources appear in the working paper	Sources appear once a workflow is mapped	Sources never appear	P0	Yes		
SOX	Control Page - Workflow Mapping	Verify that a control with no workflow explains that population cannot start yet	A short line explains what is missing	The population step is simply empty	P0	Yes		
SOX	Control Page - Workflow Mapping	Verify that mapping a workflow is recorded so it can be traced later	The change appears in history	No trace is kept	P1	Yes		
SOX	Control Page - Audit Runs	Verify that the control page lists the audits this control sits in	Each audit is listed with its round and period	No audits are listed	P1	Yes		
SOX	Control Page - Audit Runs	Verify that each audit row shows the current state of the control in that audit	A state such as in progress is shown	No state is shown	P1	Yes		
SOX	Control Page - Audit Runs	Verify that clicking an audit row opens the working paper for that audit	The working paper opens	The row is not clickable	P1	Yes		
SOX	Control Page - Audit Runs	Verify that the testing activity section says clearly when no workflow has run	A short message says it has never run	A blank area is shown	P2	Yes		
SOX	Control Page - Audit Runs	Verify that a completed workflow run is listed with its date and result	The run is listed	Runs never appear	P0	Yes		
SOX	Control Page - Audit Runs	Verify that a control tested in more than one audit lists all of them	Every audit is listed	Only the latest is listed	P1	Yes		
SOX	Control Page - Audit Runs	Verify that the control page loads within a reasonable wait	The page appears within a few seconds	The page takes longer than fifteen seconds	P1	Yes		
SOX	New Control	Verify that New control opens a modal explaining that the control lands in the library and the RACM	The modal opens with that explanation	The modal does not open	P1	Yes		
SOX	New Control	Verify that control description is marked as required	The field carries a required marker	The field is not marked	P0	Yes		
SOX	New Control	Verify that Create control stays disabled until a description is entered	The button is disabled with a clear reason	The button works with an empty description	P0	Yes		
SOX	New Control	Verify that the process list holds the processes that exist on this engagement	Only this engagement processes are offered	Processes from a demo data set are offered	P0	Yes		Observed on staging 21 Aug 2026 - the list offers Order to Cash, Record to Report, IT General Controls, Inventory and Treasury on an engagement whose only process is Procure to Pay
SOX	New Control	Verify that a new process can be added from the picker	The new process is created and chosen	Add new process does nothing	P1	Yes		
SOX	New Control	Verify that the linked risk list holds the risks that exist on this engagement	Only this engagement risks are offered	Unrelated risks are offered	P0	Yes		Observed on staging 21 Aug 2026 - risks R-08, R-12, R-15 and R-21 are offered although the engagement RACM holds R001 to R003
SOX	New Control	Verify that a new risk can be created from the picker with the next identifier	A new risk is created in sequence	The identifier repeats an existing risk	P1	Yes		
SOX	New Control	Verify that nature offers manual, automated and IT dependent	All three are offered	A choice is missing	P1	Yes		
SOX	New Control	Verify that frequency offers the full set from annual through to ad hoc	All frequencies are offered	A frequency is missing	P1	Yes		
SOX	New Control	Verify that the owner list holds the people on this engagement	Only relevant people are offered	A demo list of people is offered	P0	Yes		Observed on staging 21 Aug 2026 - owners R. Khanna, S. Iyer, M. Nair, D. Rao and A. Sharma are offered although none are on the engagement
SOX	New Control	Verify that the key control toggle can be switched on and off	The toggle changes state	The toggle does nothing	P1	Yes		
SOX	New Control	Verify that the assertion chips can be selected and deselected	Chips toggle cleanly and several can be chosen	Only one chip can be chosen	P1	Yes		
SOX	New Control	Verify that the created control appears in the control library and in the RACM	It appears in both	It appears in only one	P0	Yes		
SOX	New Control	Verify that the created control is given the next control identifier	The identifier follows the last one used	The identifier repeats an existing control	P0	Yes		
SOX	New Control	Verify that Cancel closes the modal without creating a control	Nothing is created	A control is created anyway	P0	Yes		
SOX	SOX Audit Tab	Verify that the SOX audit tab lists every audit on the engagement	All audits are listed	An audit is missing	P0	Yes		
SOX	SOX Audit Tab	Verify that each audit row shows the period, the round and the state	All three are shown	A value is missing	P1	Yes		
SOX	SOX Audit Tab	Verify that each audit row shows its materiality	The materiality is shown	The materiality is missing	P1	Yes		
SOX	SOX Audit Tab	Verify that each audit row shows how many controls are signed off out of the total	A fraction is shown	No progress is shown	P1	Yes		
SOX	SOX Audit Tab	Verify that clicking an audit opens its dashboard	The audit dashboard opens	Nothing happens	P0	Yes		
SOX	SOX Audit Tab	Verify that an engagement with no audits shows a clear starting screen with New audit	A first step is offered	A blank tab is shown	P0	Yes		
SOX	SOX Audit Tab	Verify that the audit list is ordered so the current round is easy to find	The newest or active round is first	The order is random	P2	Yes		
SOX	SOX Audit Tab	Verify that a concluded audit is visibly different from an open one	The state makes the difference clear	Both look the same	P1	Yes		
SOX	New Audit - Period	Verify that New audit opens a four step panel showing Period, Materiality, Scope and Review	The panel opens on step 1 of 4 with all four names visible	The panel does not open or the steps are wrong	P0	Yes		
SOX	New Audit - Period	Verify that the period step asks for a from date and a to date	Both are asked for	A date is missing	P0	Yes		
SOX	New Audit - Period	Verify that the round choice offers interim, roll forward and year end	All three are offered	A round is missing	P0	Yes		
SOX	New Audit - Period	Verify that each round carries a one line explanation of what it is for	Every round has an explanation	A round has no explanation	P1	Yes		
SOX	New Audit - Period	Verify that the from and to dates can be typed as well as picked	Typing a date works	Typed text is ignored and only the picker works	P1	Yes		Observed on staging 21 Aug 2026 - typing into the date field is ignored; only the calendar sets the value
SOX	New Audit - Period	Verify that a to date earlier than the from date is refused with a clear message	A message explains the order	A backwards period is accepted	P0	Yes		
SOX	New Audit - Period	Verify that once both dates are set the period is confirmed back to the user in words	A line confirms the period covered	No confirmation is given	P1	Yes		
SOX	New Audit - Period	Verify that the month names in the confirmation are written consistently	All months are abbreviated the same way	One month is shortened differently from another	P2	Yes		Observed on staging 21 Aug 2026 - reads "01 Apr 2026 - 30 Sept 2026", mixing three and four letter months
SOX	New Audit - Period	Verify that Next stays disabled until both dates and a round are chosen	Next is disabled until then	Next works with a missing date	P0	Yes		
SOX	New Audit - Period	Verify that roll forward cannot be chosen when there is no concluded interim audit to attach it to	The choice is disabled with a clear reason	Roll forward can be chosen on an engagement with no audits	P0	Yes		Observed on staging 21 Aug 2026 - roll forward is freely selectable on a brand new engagement
SOX	New Audit - Period	Verify that a roll forward audit takes its dates from the parent interim audit	The dates are derived and read only	The user can set any dates	P1	Yes		
SOX	New Audit - Period	Verify that a second year end audit cannot be created for the same financial year	The second attempt is refused with a clear message	Two year end audits are created for one year	P1	Yes		
SOX	New Audit - Period	Verify that the financial year the audit belongs to is captured somewhere in the flow	The financial year is recorded	The audit has dates but no financial year	P1	Yes		No financial year field exists on staging as at 21 Aug 2026
SOX	New Audit - Materiality	Verify that the materiality step offers optional trial balance and general ledger uploads	Both uploads are offered and marked as optional where they are	An upload is missing	P0	Yes		
SOX	New Audit - Materiality	Verify that the step explains that the trial balance names the companies the audit can cover	A short explanation is shown	No explanation is given	P1	Yes		
SOX	New Audit - Materiality	Verify that a trial balance can be uploaded as xlsx or csv	Both are accepted	A named format is refused	P0	Yes		
SOX	New Audit - Materiality	Verify that an uploaded file asks where it came from before it can be relied on	The system export or client prepared choice is asked	Provenance is never asked	P0	Yes		
SOX	New Audit - Materiality	Verify that the warning that provenance is still needed disappears once it is answered	The warning clears	The warning stays after the answer	P1	Yes		
SOX	New Audit - Materiality	Verify that an uploaded file can be removed and replaced	The file can be swapped	The file cannot be removed	P1	Yes		
SOX	New Audit - Materiality	Verify that the basis list offers profit before tax, revenue, net assets, total assets, total expenses and a direct amount	All six are offered	A basis is missing	P0	Yes		
SOX	New Audit - Materiality	Verify that each basis carries a short note on when it is used	A note is shown under the choice	No guidance is given	P1	Yes		
SOX	New Audit - Materiality	Verify that choosing set the amount directly hides the benchmark and percentage and asks for one figure	Only the amount is asked for	The percentage fields stay on screen	P1	Yes		
SOX	New Audit - Materiality	Verify that the benchmark amount and the percentage are both required before moving on	Next is blocked until both are set	Next works with an empty benchmark	P0	Yes		
SOX	New Audit - Materiality	Verify that the step does not arrive with example numbers already filled in	The fields start empty	The fields arrive pre filled with sample figures the user may not notice	P1	Yes		Observed on staging 21 Aug 2026 - benchmark 420, basis 5 percent, performance 75 percent and clearly trivial 5 percent are pre filled
SOX	New Audit - Materiality	Verify that a negative or zero benchmark is refused with a clear message	A message explains the value must be positive	A zero materiality is accepted	P0	Yes		
SOX	New Audit - Materiality	Verify that a percentage above one hundred is refused	A message explains the range	A percentage over one hundred is accepted	P0	Yes		
SOX	New Audit - Materiality	Verify that performance materiality above overall materiality is refused	A message explains the relationship	Performance materiality exceeds overall materiality	P0	Yes		
SOX	New Audit - Materiality	Verify that the clearly trivial threshold cannot exceed performance materiality	A message explains the relationship	The thresholds cross over	P0	Yes		
SOX	New Audit - Materiality	Verify that the guidance for performance materiality names the usual range	A short note names the usual range	No guidance is given	P2	Yes		
SOX	New Audit - Thresholds	Verify that overall materiality is worked out as the percentage of the benchmark	The figure and the working shown agree	The arithmetic is wrong	P0	Yes		
SOX	New Audit - Thresholds	Verify that performance materiality is worked out as the percentage of overall materiality	The figure and the working agree	The arithmetic is wrong	P0	Yes		
SOX	New Audit - Thresholds	Verify that the clearly trivial threshold is worked out as the percentage of overall materiality	The figure and the working agree	The arithmetic is wrong	P0	Yes		
SOX	New Audit - Thresholds	Verify that the computed thresholds change as soon as an input changes	The figures move with the inputs	The figures lag behind	P0	Yes		
SOX	New Audit - Thresholds	Verify that the working behind each threshold is shown in words	A short working is shown under each figure	Only the number is shown	P1	Yes		
SOX	New Audit - Thresholds	Verify that the four grade bands are shown with their money amounts	All four bands are shown	A band is missing	P0	Yes		
SOX	New Audit - Thresholds	Verify that the band boundaries do not overlap or leave a gap	The bands run continuously	Two bands claim the same amount or an amount falls in no band	P0	Yes		
SOX	New Audit - Thresholds	Verify that the significant deficiency band is shown as a percentage of materiality as well as an amount	Both are shown	Only the amount is shown	P1	Yes		
SOX	New Audit - Thresholds	Verify that the material weakness band names the material weakness indicators as an alternative route in	The band says either the amount or any indicator	Indicators are not mentioned	P1	Yes		
SOX	New Audit - Scope	Verify that the scope step offers scoping by entity or by RACM as a choice of one	The two are offered as alternatives	Both can be active at once	P0	Yes		
